,License,Inspection_ID,seriousCount,minorCount,Facility_Type,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,package_goods,limited_business_license,outdoor_patio,public_place_of_amusement,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,heat_burglary,heat_garbage,heat_sanitation,Inspector_Assigned,precipIntensity,temperatureMax,windSpeed,humidity,criticalFound,last_check
0,1043,1199175,2,4,Restaurant,0,0,0,0,10.4,1,7.7041095890411,0,0,0,0,0,0,0,1,0,0,0,0,41.1299564986449,37.4304190187329,57.3187802050571,blue,0.0,52.88,9.37333333333333,0.603333333333333,0,0.14215476699444207
1,1050,1329516,0,6,Restaurant,0,0,0,0,10.4,1,7.57808219178082,0,0,0,0,0,0,0,0,0,0,0,0,14.9345642907972,25.8556257592172,3.09077151929582,brown,0.0007633333333333,86.89,10.6266666666667,0.576666666666667,0,0.14215476699444207
2,1052,1335844,3,8,Grocery_Store,0,0,0,0,10.4,1,6.54246575342466,0,0,0,0,0,0,0,0,0,0,0,0,35.4632069971696,22.9468268722644,33.1391070684961,yellow,0.0105466666666667,79.7033333333333,12.59,0.74,1,0.14215476699444207
3,1058,1277865,0,7,Restaurant,0,0,0,0,10.4,1,6.53424657534247,1,0,0,0,0,0,0,0,0,0,0,0,34.8204511934277,10.6028711380987,15.0740219813445,green,0.00073,60.8133333333333,7.02666666666667,0.683333333333333,1,0.14215476699444207
4,1060,1227523,0,1,Restaurant,0,0,0,0,10.4,1,6.53424657534247,0,0,0,0,0,0,0,0,0,0,0,0,2.73104868462049,16.7840586712395,12.9349570263468,orange,0.0173333333333333,82.9,7.69666666666667,0.63,0,0.14215476699444207
5,1060,1335440,0,1,Restaurant,0,0,0,1,8.0,0,7.23013698630137,0,0,0,1,0,0,0,1,0,0,0,0,9.21534141415363,17.1105145958478,11.1415750477006,orange,4.66666666666667e-05,63.3466666666667,6.55333333333333,0.483333333333333,0,0.0
6,1064,679448,0,3,Restaurant,0,0,0,0,10.4,1,5.63561643835616,1,0,0,0,0,1,0,0,0,0,0,0,11.684988760989,36.0324121014722,2.46601786526692,yellow,0.0016533333333333,53.04,10.6533333333333,0.716666666666667,0,0.14215476699444207
7,1064,1084416,0,3,Restaurant,0,0,0,3,10.0,0,6.53698630136986,0,0,0,0,0,0,0,0,0,0,0,0,27.7482661954423,29.5630803686112,19.1128580956513,green,0.0001866666666666,35.1,8.44,0.69,0,0.0
8,1064,1395378,0,4,Restaurant,0,0,0,3,10.0,0,7.40821917808219,1,0,0,0,0,1,0,0,0,0,0,0,45.3631448509486,32.7292557338353,12.3993817244797,orange,0.0,15.4,7.19333333333333,0.716666666666667,0,0.0
9,1077,614676,0,3,Restaurant,0,0,0,0,10.4,1,5.14246575342466,0,0,0,0,0,0,0,1,0,0,0,0,7.11736467227148,0.391469474098597,18.1560650140959,green,0.0,40.4533333333333,11.2633333333333,0.59,0,0.14215476699444207
10,1077,1324565,0,5,Restaurant,0,0,0,3,18.0,0,6.68493150684932,0,0,0,0,0,0,0,0,0,0,0,0,33.3098817119866,0.0727395091111658,10.6451665951423,yellow,0.00082,86.3966666666667,10.4966666666667,0.616666666666667,0,0.0
11,1094,1227763,1,7,Grocery_Store,0,0,0,0,10.4,1,7.02191780821918,0,1,1,0,0,0,0,0,0,0,0,0,8.31746096948965,10.8975482047437,7.94024130233764,orange,0.00023,28.6666666666667,15.24,0.66,0,0.14215476699444207
12,1168,666216,0,5,Restaurant,0,0,0,0,10.4,1,5.49041095890411,1,0,0,0,0,1,0,0,0,0,0,0,6.57199432514534,0.0070761444720876,58.7592646280488,green,0.0174466666666667,56.16,11.1,0.846666666666667,1,0.14215476699444207
13,1168,1372355,0,5,Restaurant,0,1,0,5,26.0,0,7.67945205479452,1,0,0,0,0,1,0,0,0,0,0,0,11.5067737961878,0.0615866013996286,29.339921882351,green,0.0,30.4833333333333,12.6866666666667,0.72,1,1.0
14,1187,1196326,0,4,Restaurant,0,0,0,0,10.4,1,5.76712328767123,0,0,0,0,0,0,0,1,1,0,0,0,20.4489290260468,3.13268519561955,25.8814936715267,green,0.0005933333333333,83.7433333333333,10.4733333333333,0.42,0,0.14215476699444207
15,1187,1235942,1,3,Restaurant,0,0,0,4,15.0,0,7.03561643835616,0,0,0,0,1,0,0,0,0,0,0,0,15.1798007350051,0.806717126121898,6.13935570311256,green,0.0,85.7466666666667,9.27333333333333,0.583333333333333,0,0.0
16,1192,1194279,0,6,Restaurant,0,0,0,0,10.4,1,5.73424657534247,0,0,0,0,1,0,0,0,0,0,0,0,10.2929185168089,6.28429675419121,23.3386164280195,brown,0.01428,64.1833333333333,7.57333333333333,0.763333333333333,0,0.14215476699444207
17,1192,1353740,0,5,Restaurant,0,0,0,6,14.0,0,6.92602739726027,1,0,0,0,1,0,0,0,0,0,0,0,28.6349823525956,9.84892038458013,16.3969384353652,yellow,0.0007033333333333,87.35,6.46666666666667,0.67,0,0.0
18,1196,1324673,0,2,Restaurant,0,0,0,0,10.4,1,7.57534246575342,0,1,0,1,0,1,0,1,0,0,0,0,29.7328443268506,10.4046630300978,27.8148975799767,yellow,0.0,91.0466666666667,10.6,0.583333333333333,0,0.14215476699444207
19,1212,598504,0,3,Restaurant,0,0,0,0,10.4,1,5.8054794520548,1,0,0,0,0,0,0,0,0,0,0,0,23.2486651078785,27.6311188003988,14.869806299602,brown,0.0043333333333333,47.6366666666667,14.0466666666667,0.763333333333333,0,0.14215476699444207
20,1212,1300380,0,3,Restaurant,0,0,0,3,11.0,0,6.72876712328767,1,0,0,0,0,0,0,0,0,0,0,0,7.30122109547251,21.2318681710438,16.6370878387341,green,0.0012133333333333,43.0666666666667,7.82,0.72,0,0.0
21,1219,1235411,1,3,Restaurant,0,0,0,0,10.4,1,6.11780821917808,0,0,0,0,1,0,0,1,0,0,0,0,24.4895135919941,4.95583472930908,17.863092123091,green,0.0,68.6533333333333,10.3733333333333,0.54,0,0.14215476699444207
22,1219,1369836,1,5,Restaurant,1,0,1,3,13.0,0,7.18630136986301,0,0,0,0,0,0,0,0,0,0,0,0,25.5151784035492,8.6883308131761,21.4887218591261,blue,0.0002666666666666,55.23,9.07666666666667,0.69,0,0.0
23,1219,1434544,1,3,Restaurant,1,0,1,5,5.0,0,7.63561643835616,0,0,0,0,1,0,0,1,0,0,0,0,10.6108132694384,4.81881317673036,10.0639596189408,blue,0.0002,54.4766666666667,14.59,0.543333333333333,0,0.0
24,1226,1154674,0,4,Grocery_Store,0,0,0,0,10.4,1,5.97808219178082,0,1,1,1,0,0,0,0,0,0,0,0,6.13207826099394,5.68794924644439,1.15084047026798,orange,0.00014,43.62,8.46666666666667,0.68,0,0.14215476699444207
25,1237,1114588,0,7,Restaurant,0,0,0,0,10.4,1,6.54794520547945,1,0,0,0,0,0,0,0,0,0,0,0,14.4627990717754,0.18855860173882,8.88689955352522,orange,0.0,43.5133333333333,9.22333333333333,0.526666666666667,0,0.14215476699444207
26,1242,1138586,0,3,Restaurant,0,0,0,0,10.4,1,5.97534246575342,0,0,0,0,0,0,0,0,0,0,0,0,19.1553439399283,1.81744918581885e-05,4.14290722318277,green,0.0,44.7433333333333,9.96333333333333,0.656666666666667,0,0.14215476699444207
27,1242,1345474,0,4,Restaurant,0,0,0,3,9.0,0,6.76438356164384,0,0,0,0,0,0,0,0,0,0,0,0,16.6457832188877,1.94852497798086,3.36057651474839,yellow,0.0,78.0833333333333,5.75,0.623333333333333,0,0.0
28,1242,1372387,0,3,Restaurant,0,0,0,4,5.0,0,7.24109589041096,1,0,0,0,1,0,0,0,0,0,0,0,9.54684012458791,3.86037665777567e-05,1.97219222550035,green,0.0004,15.7033333333333,8.48333333333333,0.696666666666667,0,0.0
29,1246,1138824,0,5,Restaurant,0,0,0,0,10.4,1,6.9972602739726,0,0,0,0,0,0,0,1,0,0,0,0,29.1108231509757,3.03746043577311,36.9150136611083,green,0.0019,43.4933333333333,16.72,0.72,0,0.14215476699444207
30,1246,1401985,0,7,Restaurant,0,0,0,5,13.0,0,8.07671232876712,0,0,0,0,0,0,0,1,0,0,0,0,22.3732644714844,2.09627871516238,21.9977158855983,blue,0.0033666666666666,39.4066666666667,12.2833333333333,0.73,1,0.0
